1, 3, 2
3, 3, 5
59, 4, 10
41, 6, 7
89, 6, 8
73, 7, 2
16, 8, 3
49, 8, 5
60, 10, 8
84, 12, 6
30, 14, 8
83, 16, 3
19, 17, 3
44, 17, 5
92, 17, 2
96, 17, 10
82, 18, 2
98, 18, 6
64, 19, 6
11, 20, 5
65, 22, 9
7, 23, 2
68, 23, 5
53, 27, 10
13, 28, 3
62, 28, 6
75, 28, 10
25, 30, 2
40, 30, 10
50, 31, 10
70, 31, 2
8, 32, 2
72, 32, 9
66, 33, 4
32, 34, 6
4, 39, 5
31, 39, 8
54, 39, 9
6, 40, 2
71, 40, 8
23, 41, 10
38, 42, 8
55, 42, 9
79, 42, 5
100, 42, 6
29, 47, 2
69, 47, 9
91, 48, 6
12, 49, 4
51, 49, 9
22, 50, 6
35, 53, 7
63, 53, 4
18, 54, 3
86, 54, 9
95, 54, 3
39, 56, 2
48, 56, 3
74, 56, 5
5, 57, 3
78, 57, 4
93, 59, 3
97, 60, 4
99, 60, 5
36, 61, 9
61, 62, 4
90, 62, 3
10, 63, 9
20, 63, 2
34, 63, 9
52, 63, 2
28, 64, 7
14, 66, 3
21, 70, 7
76, 70, 6
88, 70, 6
58, 71, 4
46, 72, 6
85, 73, 9
24, 74, 10
15, 75, 3
56, 76, 2
94, 76, 6
33, 78, 8
42, 78, 5
77, 79, 10
27, 80, 9
9, 81, 6
80, 86, 6
57, 87, 4
26, 91, 10
37, 91, 10
17, 92, 7
43, 94, 2
87, 94, 5
2, 96, 8
45, 97, 7
47, 97, 10
81, 97, 6
67, 99, 5
